player_id,short_name,long_name,age,dob,height_cm,weight_kg,fifa_version,fifa_update,update_as_of,player_positions,overall,potential,value_eur,club_name,league_name,nationality_name,preferred_foot,skill_moves,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,skill_dribbling,skill_long_passing,skill_ball_control,movement_acceleration,movement_agility,power_shot_power,power_long_shots,mentality_positioning,mentality_vision,defending_marking_awareness,defending_standing_tackle,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
1,Casemiro,Carlos Henrique Venancio Casimiro,31,1992-02-23,185,84,24.0,2.0,2023-09-22,CDM,89,89,72000000.0,Manchester United,Premier League,Brazil,Right,2,75.0,79.0,73.0,89.0,88.0,68,69,84,84,69,85,79,60,61,88,81,77,79,90,89,12,12,78+3,78+3,78+3,74,77,77,77,74,77+3,77+3,77+3,76+3,82+3,82+3,82+3,76+3,82+3,87+2,87+2,87+2,82+3,83+3,87+2,87+2,87+2,83+3,21+3
2,K. Benzema,Karim Benzema,35,1987-12-19,185,81,24.0,2.0,2023-09-22,"CF, ST",90,90,51000000.0,Al Ittihad,Pro League,France,Right,4,88.0,83.0,87.0,39.0,78.0,75,91,90,89,87,76,91,78,77,87,81,92,90,43,24,5,7,88+2,88+2,88+2,86,89,89,89,86,88+2,88+2,88+2,86+3,82+3,82+3,82+3,86+3,64+3,64+3,64+3,64+3,64+3,60+3,55+3,55+3,55+3,60+3,18+3
3,L. Messi,Lionel Andrés Messi Cuccittini,36,1987-06-24,169,67,24.0,2.0,2023-09-22,"CF, CAM",90,90,41000000.0,Inter Miami,Major League Soccer,Argentina,Left,4,87.0,90.0,94.0,33.0,64.0,83,89,60,91,96,90,93,87,91,83,90,91,92,20,35,14,8,85+3,85+3,85+3,90,89,89,89,90,91-1,91-1,91-1,89+1,85+3,85+3,85+3,89+1,64+3,63+3,63+3,63+3,64+3,59+3,49+3,49+3,49+3,59+3,19+3
4,R. Lewandowski,Robert Lewandowski,34,1988-08-21,185,81,24.0,2.0,2023-09-22,ST,90,90,58000000.0,FC Barcelona,La Liga,Poland,Right,4,91.0,80.0,87.0,44.0,84.0,76,93,91,84,86,70,90,76,77,91,84,94,81,35,42,8,10,89+1,89+1,89+1,85,88,88,88,85,86+3,86+3,86+3,84+3,80+3,80+3,80+3,84+3,65+3,66+3,66+3,66+3,65+3,61+3,61+3,61+3,61+3,61+3,19+3
5,M. Kovačić,Mateo Kovačić,29,1994-05-06,177,80,24.0,2.0,2023-09-22,"CM, CDM",82,82,29500000.0,Manchester City,Premier League,Croatia,Right,4,69.0,82.0,87.0,71.0,70.0,73,61,42,89,87,84,88,76,86,78,76,73,82,73,75,7,7,72+3,72+3,72+3,79,78,78,78,79,82,82,82,80+2,82,82,82,80+2,77+3,79+3,79+3,79+3,77+3,74+3,71+3,71+3,71+3,74+3,15+3
6,N. Otamendi,Nicolás Hernán Gonzalo Otamendi,35,1988-02-12,183,78,24.0,2.0,2023-09-22,CB,82,82,8000000.0,Benfica,Liga Portugal,Argentina,Right,2,57.0,64.0,59.0,83.0,85.0,52,54,79,74,51,72,66,63,58,69,56,48,62,84,84,11,12,64+3,64+3,64+3,60,62,62,62,60,63+3,63+3,63+3,63+3,69+3,69+3,69+3,63+3,74+3,79+3,79+3,79+3,74+3,76+3,82,82,82,76+3,18+3
7,D. Alaba,David Olatukunbo Alaba,31,1992-06-24,180,78,24.0,2.0,2023-09-22,"CB, LB",85,85,37000000.0,Real Madrid,La Liga,Austria,Left,3,71.0,83.0,80.0,85.0,77.0,83,63,77,89,77,80,85,79,76,82,78,73,78,89,84,15,9,77+3,77+3,77+3,79,79,79,79,79,80+3,80+3,80+3,80+3,82+3,82+3,82+3,80+3,84+1,84+1,84+1,84+1,84+1,84+1,84+1,84+1,84+1,84+1,18+3
8,Neymar Jr,Neymar da Silva Santos Júnior,31,1992-02-05,175,68,24.0,2.0,2023-09-22,LW,89,89,85500000.0,Al Hilal,Pro League,Brazil,Right,5,83.0,85.0,93.0,37.0,61.0,83,83,63,85,95,81,94,88,93,79,81,86,90,35,32,15,11,82+3,82+3,82+3,88,88,88,88,88,89,89,89,88+1,82+3,82+3,82+3,88+1,66+3,63+3,63+3,63+3,66+3,61+3,50+3,50+3,50+3,61+3,20+3
9,M. ter Stegen,Marc-André ter Stegen,31,1992-04-30,187,85,24.0,2.0,2023-09-22,GK,89,89,54500000.0,FC Barcelona,La Liga,Germany,Right,1,,,,,,18,14,11,61,21,63,30,45,39,67,10,11,70,25,13,86,91,35+3,35+3,35+3,35,38,38,38,35,42+3,42+3,42+3,39+3,45+3,45+3,45+3,39+3,33+3,41+3,41+3,41+3,33+3,31+3,33+3,33+3,33+3,31+3,87+2
10,O. Giroud,Olivier Giroud,36,1986-09-30,193,91,24.0,2.0,2023-09-22,ST,82,82,10500000.0,Milan,Serie A,France,Left,3,83.0,74.0,74.0,42.0,80.0,64,87,89,82,69,64,86,38,55,86,69,88,78,37,37,6,5,81+1,81+1,81+1,73,78,78,78,73,77+3,77+3,77+3,72+3,74+3,74+3,74+3,72+3,56+3,61+3,61+3,61+3,56+3,53+3,57+3,57+3,57+3,53+3,18+3
11,K. De Bruyne,Kevin De Bruyne,32,1991-06-28,181,75,24.0,2.0,2023-09-22,"CM, CAM",91,91,103000000.0,Manchester City,Premier League,Belgium,Right,4,88.0,94.0,87.0,65.0,78.0,95,85,55,94,86,94,92,72,74,92,92,88,95,66,70,10,13,83+3,83+3,83+3,87,88,88,88,87,89+2,89+2,89+2,88+3,90+1,90+1,90+1,88+3,79+3,80+3,80+3,80+3,79+3,75+3,70+3,70+3,70+3,75+3,21+3
12,K. Trippier,Kieran Trippier,32,1990-09-19,173,71,24.0,2.0,2023-09-22,RB,85,85,37500000.0,Newcastle United,Premier League,England,Right,3,65.0,86.0,79.0,82.0,72.0,92,54,79,84,76,86,85,73,66,82,71,77,85,82,84,11,10,73+2,73+2,73+2,77,77,77,77,77,78+2,78+2,78+2,80+2,83+2,83+2,83+2,80+2,83+2,83+2,83+2,83+2,83+2,82+2,80+2,80+2,80+2,82+2,19+2
13,Alisson,Alisson Ramsés Becker,30,1992-10-02,193,91,24.0,2.0,2023-09-22,GK,89,90,77500000.0,Liverpool,Premier League,Brazil,Right,1,,,,,,17,13,29,60,27,58,42,60,40,64,14,13,66,15,19,90,89,39+3,39+3,39+3,39,42,42,42,39,45+3,45+3,45+3,42+3,46+3,46+3,46+3,42+3,34+3,39+3,39+3,39+3,34+3,33+3,33+3,33+3,33+3,33+3,87+3
14,T. Courtois,Thibaut Nicolas Marc Courtois,31,1992-05-11,199,96,24.0,2.0,2023-09-22,GK,90,90,63000000.0,Real Madrid,La Liga,Belgium,Left,1,,,,,,14,14,13,33,13,35,23,42,63,57,17,13,44,20,18,90,93,32+3,32+3,32+3,30,31,31,31,30,32+3,32+3,32+3,31+3,33+3,33+3,33+3,31+3,29+3,31+3,31+3,31+3,29+3,29+3,29+3,29+3,29+3,29+3,88+2
15,E. Martínez,Damián Emiliano Martínez,30,1992-09-02,195,88,24.0,2.0,2023-09-22,GK,85,85,36000000.0,Aston Villa,Premier League,Argentina,Right,1,,,,,,22,16,26,57,17,59,38,59,49,62,16,12,66,11,20,84,85,37+3,37+3,37+3,37,39,39,39,37,43+3,43+3,43+3,41+3,45+3,45+3,45+3,41+3,35+3,39+3,39+3,39+3,35+3,34+3,33+3,33+3,33+3,34+3,83+2
16,S. Russo,Stefano Russo,23,2000-06-29,183,75,24.0,2.0,2023-09-22,"CDM, CB",64,72,1200000.0,Viktoria Köln,3. Liga,Germany,Right,2,53.0,57.0,61.0,61.0,73.0,50,43,55,65,59,61,63,61,66,69,62,44,50,59,63,7,13,56+2,56+2,56+2,56,56,56,56,56,57+2,57+2,57+2,57+2,60+2,60+2,60+2,57+2,61+2,63+2,63+2,63+2,61+2,61+2,63+2,63+2,63+2,61+2,15+2
17,J. Oblak,Jan Oblak,30,1993-01-07,188,87,24.0,2.0,2023-09-22,GK,88,88,61000000.0,Atlético Madrid,La Liga,Slovenia,Right,1,,,,,,13,11,15,43,12,40,30,42,64,59,12,11,67,27,14,86,87,32+3,32+3,32+3,32,34,34,34,32,37+3,37+3,37+3,34+3,39+3,39+3,39+3,34+3,32+3,37+3,37+3,37+3,32+3,32+3,34+3,34+3,34+3,32+3,86+2
18,A. Griezmann,Antoine Griezmann,32,1991-03-21,176,73,24.0,2.0,2023-09-22,"ST, CF",88,88,74000000.0,Atlético Madrid,La Liga,France,Left,4,88.0,87.0,88.0,58.0,75.0,82,90,85,89,88,86,89,80,89,85,87,90,88,45,63,13,14,87+1,87+1,87+1,87,88,88,88,87,88,88,88,87+1,85+3,85+3,85+3,87+1,75+3,74+3,74+3,74+3,75+3,73+3,68+3,68+3,68+3,73+3,21+3
19,H. Kane,Harry Kane,29,1993-07-28,188,85,24.0,2.0,2023-09-22,ST,90,90,119500000.0,FC Bayern München,Bundesliga,England,Right,3,93.0,84.0,83.0,49.0,83.0,80,95,89,87,82,88,87,67,66,93,87,94,87,46,46,14,11,89+1,89+1,89+1,84,87,87,87,84,86+3,86+3,86+3,85+3,83+3,83+3,83+3,85+3,67+3,69+3,69+3,69+3,67+3,64+3,63+3,63+3,63+3,64+3,20+3
20,V. van Dijk,Virgil van Dijk,31,1991-07-08,193,92,24.0,2.0,2023-09-22,CB,89,89,70500000.0,Liverpool,Premier League,Netherlands,Right,2,60.0,71.0,72.0,89.0,86.0,53,52,86,79,70,86,76,66,59,81,64,47,65,90,91,11,11,70+3,70+3,70+3,67,69,69,69,67,70+3,70+3,70+3,70+3,75+3,75+3,75+3,70+3,79+3,84+3,84+3,84+3,79+3,81+3,88+1,88+1,88+1,81+3,20+3
21,M. Salah,Mohamed Salah Ghaly,31,1992-06-15,175,71,24.0,2.0,2023-09-22,RW,89,89,85500000.0,Liverpool,Premier League,Egypt,Left,4,87.0,81.0,88.0,45.0,76.0,80,92,59,84,88,77,86,89,89,82,84,92,84,38,43,11,14,85+3,85+3,85+3,88,87,87,87,88,87+2,87+2,87+2,87+2,82+3,82+3,82+3,87+2,71+3,68+3,68+3,68+3,71+3,67+3,58+3,58+3,58+3,67+3,22+3
22,L. Goretzka,Leon Christoph Goretzka,28,1995-02-06,189,82,24.0,2.0,2023-09-22,"CM, CDM",85,85,54000000.0,FC Bayern München,Bundesliga,Germany,Right,3,81.0,81.0,83.0,80.0,86.0,75,81,86,85,84,83,84,75,75,85,86,84,82,74,83,11,9,83+2,83+2,83+2,82,83,83,83,82,83+2,83+2,83+2,82+3,84+1,84+1,84+1,82+3,81+3,83+2,83+2,83+2,81+3,81+3,83+2,83+2,83+2,81+3,19+3
23,J. Kimmich,Joshua Walter Kimmich,28,1995-02-08,177,75,24.0,2.0,2023-09-22,"CDM, RB, CM",88,89,88000000.0,FC Bayern München,Bundesliga,Germany,Right,3,74.0,88.0,84.0,82.0,79.0,91,68,72,88,82,91,85,77,84,78,83,80,85,82,84,15,15,77+3,77+3,77+3,82,81,81,81,82,83+3,83+3,83+3,83+3,86+3,86+3,86+3,83+3,84+3,86+3,86+3,86+3,84+3,83+3,81+3,81+3,81+3,83+3,21+3
24,R. Varane,Raphaël Varane,30,1993-04-25,191,81,24.0,2.0,2023-09-22,CB,85,85,44000000.0,Manchester United,Premier League,France,Right,2,49.0,64.0,67.0,86.0,78.0,42,46,85,78,61,76,76,75,62,52,53,55,59,88,87,5,14,66+3,66+3,66+3,65,66,66,66,65,67+3,67+3,67+3,66+3,71+3,71+3,71+3,66+3,75+3,80+3,80+3,80+3,75+3,78+3,84+1,84+1,84+1,78+3,19+3
25,M. Depay,Memphis Depay,29,1994-02-13,176,78,24.0,2.0,2023-09-22,"CF, LW, ST",84,84,42000000.0,Atlético Madrid,La Liga,Netherlands,Right,5,82.0,81.0,85.0,30.0,80.0,84,82,65,80,86,75,85,81,81,85,82,85,85,23,31,12,10,82+2,82+2,82+2,84,83,83,83,84,83+1,83+1,83+1,83+1,77+3,77+3,77+3,83+1,61+3,59+3,59+3,59+3,61+3,56+3,50+3,50+3,50+3,56+3,19+3
26,T. Werner,Timo Werner,27,1996-03-06,180,76,24.0,2.0,2023-09-22,ST,82,83,35500000.0,RB Leipzig,Bundesliga,Germany,Right,3,80.0,70.0,82.0,35.0,69.0,69,78,75,79,82,55,83,93,79,85,77,86,68,39,20,15,9,81+2,81+2,81+2,81,82,82,82,81,79+3,79+3,79+3,80+3,71+3,71+3,71+3,80+3,61+3,56+3,56+3,56+3,61+3,58+3,50+3,50+3,50+3,58+3,19+3
27,D. Berardi,Domenico Berardi,28,1994-08-01,183,72,24.0,2.0,2023-09-22,"RW, RM",85,85,54500000.0,Sassuolo,Serie A,Italy,Left,4,83.0,81.0,87.0,36.0,72.0,78,85,62,85,86,79,87,82,92,83,80,86,83,42,30,5,6,81+2,81+2,81+2,84,84,84,84,84,85,85,85,84+1,78+2,78+2,78+2,84+1,63+2,62+2,62+2,62+2,63+2,58+2,52+2,52+2,52+2,58+2,14+2
28,A. Rabiot,Adrien Rabiot,28,1995-04-03,191,80,24.0,2.0,2023-09-22,"CM, LM",84,84,42000000.0,Juventus,Serie A,France,Left,3,76.0,80.0,80.0,82.0,84.0,73,72,79,85,80,84,85,76,69,86,78,82,83,80,84,7,15,80+2,80+2,80+2,80,81,81,81,80,81+2,81+2,81+2,81+2,84,84,84,81+2,82+2,83+1,83+1,83+1,82+2,81+2,82+2,82+2,82+2,81+2,19+2
29,J. Stones,John Stones,29,1994-05-28,188,76,24.0,2.0,2023-09-22,"CB, RB",85,86,49500000.0,Manchester City,Premier League,England,Right,3,52.0,75.0,77.0,85.0,77.0,63,54,84,86,75,79,84,67,66,55,44,52,78,86,86,10,8,68+2,68+2,68+2,71,71,71,71,71,74+2,74+2,74+2,74+2,78+2,78+2,78+2,74+2,80+2,83+2,83+2,83+2,80+2,81+2,84+2,84+2,84+2,81+2,18+2
30,S. Lobotka,Stanislav Lobotka,28,1994-11-25,170,64,24.0,2.0,2023-09-22,"CM, CDM",84,84,42000000.0,Napoli,Serie A,Slovakia,Right,3,70.0,81.0,83.0,77.0,75.0,75,70,45,85,82,85,86,76,77,73,77,78,85,78,82,13,14,73+2,73+2,73+2,79,79,79,79,79,81+2,81+2,81+2,80+2,84,84,84,80+2,80+2,82+2,82+2,82+2,80+2,79+2,76+2,76+2,76+2,79+2,19+2
31,F. Dimarco,Federico Dimarco,25,1997-11-10,175,75,24.0,2.0,2023-09-22,"LWB, LM, CB",82,85,37000000.0,Inter,Serie A,Italy,Left,3,71.0,80.0,79.0,74.0,71.0,85,69,49,80,78,78,84,81,74,69,76,81,77,77,76,7,7,73+2,73+2,73+2,79,78,78,78,79,79+2,79+2,79+2,80+2,80+2,80+2,80+2,80+2,80+2,78+2,78+2,78+2,80+2,78+2,73+2,73+2,73+2,78+2,16+2
