player_id,score
1,
2,3.0
3,5.0
4,3.0
5,4.0
6,3.0
7,1.0
8,2.0
9,1.0
10,3.0
11,
12,3.0
13,3.0
14,3.0
15,5.0
16,2.0
17,5.0
18,4.0
19,
20,4.0
21,5.0
22,4.0
23,2.0
24,4.0
25,2.0
26,4.0
27,2.0
28,4.0
29,2.0
30,3.0
31,3.0
32,4.0
33,3.0
34,3.0
35,1.0
36,5.0
37,3.0
38,4.0
39,3.0
40,4.0
41,
42,4.0
43,
44,4.0
45,3.0
46,3.0
47,4.0
48,4.0
49,3.0
50,1.0
51,1.0
52,2.0
53,3.0
54,2.0
55,2.0
56,5.0
57,2.0
58,2.0
59,4.0
60,3.0
61,3.0
62,4.0
63,
64,3.0
65,
66,3.0
67,2.0
68,4.0
69,3.0
70,2.0
71,2.0
72,1.0
73,5.0
74,1.0
75,2.0
76,1.0
77,5.0
78,2.0
79,2.0
80,5.0
81,2.0
82,
83,3.0
84,
85,1.0
86,1.0
87,2.0
88,1.0
89,2.0
90,1.0
91,2.0
92,2.0
93,3.0
94,1.0
95,
96,3.0
97,2.0
98,2.0
