player_id,short_name,long_name,age,dob,height_cm,weight_kg,fifa_version,fifa_update,update_as_of,player_positions,overall,potential,value_eur,club_name,league_name,nationality_name,preferred_foot,skill_moves,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,skill_dribbling,skill_long_passing,skill_ball_control,movement_acceleration,movement_agility,power_shot_power,power_long_shots,mentality_positioning,mentality_vision,defending_marking_awareness,defending_standing_tackle,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
1,c.casemiro,Carlos Henrique Venâncio Casemiro,31,2/23/1992,185,84,24,2,9/22/2023,CDM,89,89,72000000,Manchester United,Premier League,Brazil,Right,2,75,79,73,89,88,68,69,84,84,69,85,79,60,61,88,81,77,79,90,89,12,12,78+3,78+3,78+3,74,77,77,77,74,77+3,77+3,77+3,76+3,82+3,82+3,82+3,76+3,82+3,87+2,87+2,87+2,82+3,83+3,87+2,87+2,87+2,83+3,21+3
2,k.benzema,Karim Benzema,35,12/19/1987,185,81,24,2,9/22/2023,"CF, ST",90,90,51000000,Al Ittihad,Pro League,France,Right,4,88,83,87,39,78,75,91,90,89,87,76,91,78,77,87,81,92,90,43,24,5,7,88+2,88+2,88+2,86,89,89,89,86,88+2,88+2,88+2,86+3,82+3,82+3,82+3,86+3,64+3,64+3,64+3,64+3,64+3,60+3,55+3,55+3,55+3,60+3,18+3
3,l.messi,Lionel Andrés Messi Cuccittini,36,6/24/1987,169,67,24,2,9/22/2023,"CF, CAM",90,90,41000000,Inter Miami,Major League Soccer,Argentina,Left,4,87,90,94,33,64,83,89,60,91,96,90,93,87,91,83,90,91,92,20,35,14,8,85+3,85+3,85+3,90,89,89,89,90,91-1,91-1,91-1,89+1,85+3,85+3,85+3,89+1,64+3,63+3,63+3,63+3,64+3,59+3,49+3,49+3,49+3,59+3,19+3
4,r.lewandowski,Robert Lewandowski,34,8/21/1988,185,81,24,2,9/22/2023,ST,90,90,58000000,FC Barcelona,La Liga,Poland,Right,4,91,80,87,44,84,76,93,91,84,86,70,90,76,77,91,84,94,81,35,42,8,10,89+1,89+1,89+1,85,88,88,88,85,86+3,86+3,86+3,84+3,80+3,80+3,80+3,84+3,65+3,66+3,66+3,66+3,65+3,61+3,61+3,61+3,61+3,61+3,19+3
5,m.kovacic,Mateo Kova?i?,29,5/6/1994,177,80,24,2,9/22/2023,"CM, CDM",82,82,29500000,Manchester City,Premier League,Croatia,Right,4,69,82,87,71,70,73,61,42,89,87,84,88,76,86,78,76,73,82,73,75,7,7,72+3,72+3,72+3,79,78,78,78,79,82,82,82,80+2,82,82,82,80+2,77+3,79+3,79+3,79+3,77+3,74+3,71+3,71+3,71+3,74+3,15+3
6,n.otamendi,Nicolás Hernán Gonzalo Otamendi,35,2/12/1988,183,78,24,2,9/22/2023,CB,82,82,8000000,Benfica,Liga Portugal,Argentina,Right,2,57,64,59,83,85,52,54,79,74,51,72,66,63,58,69,56,48,62,84,84,11,12,64+3,64+3,64+3,60,62,62,62,60,63+3,63+3,63+3,63+3,69+3,69+3,69+3,63+3,74+3,79+3,79+3,79+3,74+3,76+3,82,82,82,76+3,18+3
7,d.alaba,David Olatukunbo Alaba,31,6/24/1992,180,78,24,2,9/22/2023,"CB, LB",85,85,37000000,Real Madrid,La Liga,Austria,Left,3,71,83,80,85,77,83,63,77,89,77,80,85,79,76,82,78,73,78,89,84,15,9,77+3,77+3,77+3,79,79,79,79,79,80+3,80+3,80+3,80+3,82+3,82+3,82+3,80+3,84+1,84+1,84+1,84+1,84+1,84+1,84+1,84+1,84+1,84+1,18+3
8,n.neymar,Neymar da Silva Santos Júnior,31,2/5/1992,175,68,24,2,9/22/2023,LW,89,89,85500000,Al Hilal,Pro League,Brazil,Right,5,83,85,93,37,61,83,83,63,85,95,81,94,88,93,79,81,86,90,35,32,15,11,82+3,82+3,82+3,88,88,88,88,88,89,89,89,88+1,82+3,82+3,82+3,88+1,66+3,63+3,63+3,63+3,66+3,61+3,50+3,50+3,50+3,61+3,20+3
9,m.terstegen,Marc-André ter Stegen,31,4/30/1992,187,85,24,2,9/22/2023,GK,89,89,54500000,FC Barcelona,La Liga,Germany,Right,1,,,,,,18,14,11,61,21,63,30,45,39,67,10,11,70,25,13,86,91,35+3,35+3,35+3,35,38,38,38,35,42+3,42+3,42+3,39+3,45+3,45+3,45+3,39+3,33+3,41+3,41+3,41+3,33+3,31+3,33+3,33+3,33+3,31+3,87+2
10,o.giroud,Olivier Giroud,36,9/30/1986,193,91,24,2,9/22/2023,ST,82,82,10500000,Milan,Serie A,France,Left,3,83,74,74,42,80,64,87,89,82,69,64,86,38,55,86,69,88,78,37,37,6,5,81+1,81+1,81+1,73,78,78,78,73,77+3,77+3,77+3,72+3,74+3,74+3,74+3,72+3,56+3,61+3,61+3,61+3,56+3,53+3,57+3,57+3,57+3,53+3,18+3
11,k.debruyne,Kevin De Bruyne,32,6/28/1991,181,75,24,2,9/22/2023,"CM, CAM",91,91,103000000,Manchester City,Premier League,Belgium,Right,4,88,94,87,65,78,95,85,55,94,86,94,92,72,74,92,92,88,95,66,70,10,13,83+3,83+3,83+3,87,88,88,88,87,89+2,89+2,89+2,88+3,90+1,90+1,90+1,88+3,79+3,80+3,80+3,80+3,79+3,75+3,70+3,70+3,70+3,75+3,21+3
12,k.trippier,Kieran Trippier,32,9/19/1990,173,71,24,2,9/22/2023,RB,85,85,37500000,Newcastle United,Premier League,England,Right,3,65,86,79,82,72,92,54,79,84,76,86,85,73,66,82,71,77,85,82,84,11,10,73+2,73+2,73+2,77,77,77,77,77,78+2,78+2,78+2,80+2,83+2,83+2,83+2,80+2,83+2,83+2,83+2,83+2,83+2,82+2,80+2,80+2,80+2,82+2,19+2
