id_player,short_name,numberOfLikes,numberOfFollowers
1,c.casemiro,967,514
2,k.benzema,87,306
3,l.messi,425,901
4,r.lewandowski,648,183
5,m.kovacic,662,1000
6,n.otamendi,626,397
7,d.alaba,295,54
8,n.neymar,164,598
9,m.terstegen,273,17
10,o.giroud,419,675
11,k.debruyne,358,436
12,k.trippier,310,637
13,a.alisson,84,632
14,t.courtois,454,624
15,e.martinez,269,800
16,s.russo,817,364
17,j.oblak,13,925
18,a.griezmann,70,699
19,h.kane,104,927
20,v.vandijk,740,838
21,m.salah,812,706
22,l.goretzka,998,493
23,j.kimmich,148,170
24,r.varane,845,988
25,m.depay,910,197
26,t.werner,589,999
27,d.berardi,910,104
28,a.rabiot,950,494
29,j.stones,92,261
30,s.lobotka,825,459
31,f.dimarco,50,912
32,p.dybala,1,837
33,a.onana,48,475
34,a.robertson,688,404
35,b.babic,741,330
36,b.fernandes,674,525
37,b.silva,160,354
38,r.depaul,777,272
39,n.barella,715,190
40,g.mancini,565,627
41,r.dias,945,87
42,m.locatelli,322,717
43,m.zaccagni,390,658
44,g.vicario,964,558
45,d.olmo,768,655
46,k.havertz,59,757
47,t.alexanderarnold,778,553
48,a.bastoni,599,495
49,g.donnarumma,509,137
50,e.brignola,949,416
51,f.grillo,769,365
52,r.borre,864,275
53,e.evander,908,503
54,m.pereira,2,585
55,f.arancibia,568,153
56,m.deligt,957,823
57,d.jota,696,50
58,f.chiesa,15,893
59,k.mbappe,329,568
60,r.bentancur,623,817
61,r.rodri,10,635
62,d.rice,582,308
63,l.openda,563,707
64,f.valverde,849,285
65,v.vinicius,737,299
66,s.tonali,91,428
67,a.hakimi,105,103
68,e.haaland,424,720
69,n.molina,731,204
70,a.davies,20,983
71,x.amaechi,945,921
72,m.senger,287,165
73,r.kolomuani,60,921
74,m.sangare,381,181
75,b.bremer,368,407
76,j.tenkorang,286,486
77,a.macallister,494,954
78,f.amatucci,438,358
79,e.sottini,809,579
80,j.bellingham,766,951
81,a.jungdal,610,623
82,l.hartjes,110,789
83,f.wirtz,178,639
84,a.paluszek,142,927
85,j.baas,436,149
86,c.sandra,611,362
87,a.amenda,572,537
88,v.brazhko,34,330
89,a.marinelli,33,615
90,e.barrenechea,718,424
91,m.baur,708,356
92,b.diarra,813,445
93,f.carboni,734,811
94,f.ortellado,330,356
95,t.corazza,848,799
96,t.castroponce,751,900
97,k.yildiz,684,459
98,b.cremaschi,921,204
164240,t.silva,429,576
173030,o.trejo,425,467
173608,j.joselu,413,659
177003,l.modric,597,758
177413,a.witsel,236,535
178213,e.capoue,368,607
178603,m.hummels,413,611
182521,t.kroos,433,790
183512,y.berchiche,298,500
184392,m.darmian,221,571
186942,i.gundogan,585,771
188350,m.reus,452,657
